"","X","LRR","var.LRR","scale","col","ref","s","pr.st"
"1",4.14,-0.0591888713903306,0.476505358040504,1.35541805240316,"darkcyan","(Benzoni et al., 2003; Hassan et al., 2002; Pilcher and Alsuhaibany, 2000; Sheppard et al., 2000; Wilson et al., 2000)","Aden-G",0.292524269183041
"2",2.18,-0.320645684399486,0.476505358040504,1.35541805240316,"darkcyan","(Ahmada et al., 2002; Sheppard and Obura, 2005; Stobart et al., 2002; Stobart et al., 2005; Teleki et al., 2000; Teleki and Spencer, 2000)","Aldabra",-1.26912280209763
"3",4.55,-1.11264893794714,0.294299829663802,1.77575617578242,"darkcyan","(Sheppard, 1999)","Chagos",0.619195340216243
"4",3.21,-0.360614541942813,0.590616109149641,1.22424382421758,"darkcyan","(Ahmada et al., 2002; Bigot et al., 2000; Quod and Bigot, 2000; Quod et al., 2002)","Comoros",-0.448461330965441
"5",4.62,-0.576887374444083,0.590616109149641,1.22424382421758,"darkcyan","(Pilcher et al., 2000; Rezai et al., 2004; Wilson et al., 2000; Wilson et al., 2002)","Gulf-SE",0.674968449904839
"6",6.52,-1.13226308808571,0.590616109149641,1.22424382421758,"darkcyan","(Pilcher et al., 2000; Rezai et al., 2004; Wilson et al., 2000; Wilson et al., 2002)","Gulf-SW",2.18880999859529
"7",5.92,-0.844317232249066,0.383224293337255,1.52067803555577,"darkcyan","(Pilcher et al., 2000; Rezai et al., 2004; Riegl, 2002; Wilson et al., 2000; Wilson et al., 2002)","Gulf-W",1.71075477269304
"9",4,-1.13367742532824,0.383224293337255,1.52067803555577,"darkcyan","(Pet-Soede et al., 2000; Rajasuriya et al., 2002; Rajasuriya et al., 2000; Rajasuriya et al., 2004; Wilhelmsson, 2002)","India (Lakshadweep)",0.180978049805851
"10",4.78,-1.52402016127975,1,1,"darkcyan","(Obura, 2002; Obura et al., 2000b)","Kenya-N",0.802449843478771
"11",4.54,-0.916803859397601,0.339453666066726,1.62953200365823,"darkcyan","(McClanahan et al., 2001)","Kenya-S",0.611227753117872
"12",3.41,-0.252389119410671,0.590616109149641,1.22424382421758,"darkcyan","(Ahmada et al., 2002; Bigot et al., 2000)","Madagascar-E",-0.289109588998025
"13",2.81,0.137653272241911,0.419059784196405,1.44848764843515,"darkcyan","(Ahmada et al., 2002; Ahmada et al., 2004; Bigot et al., 2000; Quod and Bigot, 2000; Quod et al., 2002; Souter et al., 2000; Webster and McMahon, 2002) ","Madagascar-NW",-0.767164814900272
"14",3.47,-0.168034602284461,0.476505358040504,1.35541805240316,"darkcyan","(Ahmada et al., 2002; Ahmada et al., 2004; Bigot et al., 2000; Quod and Bigot, 2000; Quod et al., 2002; Souter et al., 2000; Webster and McMahon, 2002) ","Madagascar-SW",-0.2413040664078
