"","X","LRR","var.LRR","scale","col","row","Citation","pr.st"
"25",3.353406718,0.374838451,0.005196534,1.46881552297695,"darkgreen",25,"Niu et al. 2007",0.293956937563926
"26",4.222444565,0.065957968,0.003101512,1.49424607933797,"darkgreen",26,"Niu et al. 2007",0.444465091162448
"84",1.60743591,-1.884380959,0.011895295,1.42800898208534,"darkgreen",84,"Ehrenfeld et al. 2001",-0.00842671978327737
"85",1.793424749,-1.33105019,0.001978696,1.51639248395147,"darkgreen",85,"Ehrenfeld et al. 2001",0.0237845778540542
"86",0.09531018,-1.595117859,0.011929234,1.42786859562709,"darkgreen",86,"Ehrenfeld et al. 2001",-0.27031088560732
"87",1.60743591,2.772588722,0.003420252,1.48942584848677,"darkgreen",87,"Ehrenfeld et al. 2001",-0.00842671978327737
"88",1.793424749,2.47730205,0.017442625,1.40914807319834,"darkgreen",88,"Ehrenfeld et al. 2001",0.0237845778540542
"89",1.539015448,1.630807938,0.011841817,1.42823100521401,"darkgreen",89,"Ehrenfeld et al. 2001",-0.0202764193556573
"90",1.60743591,2.995732274,0.093766234,1.32627427313977,"darkgreen",90,"Ehrenfeld et al. 2001",-0.00842671978327737
"91",0.530628251,1.611835037,0.011710557,1.42878023288901,"darkgreen",91,"Ehrenfeld et al. 2001",-0.194918404922552
"117",0.790962058,1.406295028,0.029818065,1.38272733240536,"darkgreen",117,"Angeloni et al. 2006",-0.14983134600319
"118",0.790962058,1.103612299,0.001797282,1.52113082195577,"darkgreen",118,"Angeloni et al. 2006",-0.14983134600319
"119",0.790962058,-0.080451789,1.16646e-05,1.76934859294687,"darkgreen",119,"Angeloni et al. 2006",-0.14983134600319
"120",0.790962058,0.236388778,0.000499623,1.5842106101343,"darkgreen",120,"Angeloni et al. 2006",-0.14983134600319
"121",1.704748092,0.250144153,0.041869314,1.36600173398996,"darkgreen",121,"Belnap&Philips 2001",0.00842671978327737
"122",1.704748092,0.023810649,0.028184617,1.3855033504989,"darkgreen",122,"Belnap&Philips 2001",0.00842671978327737
"123",2.355031568,-0.105360516,0.029538639,1.38319126026183,"darkgreen",123,"Belnap&Philips 2001",0.12104893252839
"124",2.355031568,-0.063178902,0.005331808,1.46754924674879,"darkgreen",124,"Belnap&Philips 2001",0.12104893252839
"125",1.704748092,0.111225635,0.00618059,1.46027028665212,"darkgreen",125,"Belnap&Philips 2001",0.00842671978327737
