"","X","LRR","var.LRR","col","scale","pr.st","row","Studies"
"4",1,-0.43,0.0878734622144112,"darkgreen",1.74366371003394,-0.310344827586207,4,"Andresen_2010"
"5",1,0.24,0.145560407569141,"darkgreen",1.82043415674185,-0.310344827586207,5,"Andresen_2010"
"10",0.9,0.2,0.00666666666666667,"darkgreen",1.35139791241931,-0.327586206896552,10,"Biasi_2008"
"14",3.46,0.32,0.00384600592284912,"darkgreen",1.26772282941666,0.113793103448276,14,"Bloor_2010"
"15",5.6,0.33,0.0121832358674464,"darkgreen",1.44311310091926,0.482758620689655,15,"Boelman_2003"
"28",3.5,-0.16,0.0154344806297268,"darkgreen",1.47909439784918,0.120689655172414,28,"Briones_2009"
"31",2.2,0.03,0.0104427736006683,"darkgreen",1.41966476898395,-0.103448275862069,31,"Chapin, III_1995"
"32",0.82,0.23,0.015552099533437,"darkgreen",1.48024918533713,-0.341379310344828,32,"Charles_2009"
"33",0.82,-0.19,0.013401232913428,"darkgreen",1.45760731780635,-0.341379310344828,33,"Charles_2009"
"37",1.35,-0.35,0.0025,"darkgreen",1.20220097133381,-0.25,37,"Christensen_1997"
"39",6,-0.1,0.00333333333333333,"darkgreen",1.24596117228943,0.551724137931034,39,"Cole_2002"
"41",1.8,0.17,0.0587889476778366,"darkgreen",1.6825227807867,-0.172413793103448,41,"Day_2008"
"42",1.8,0.18,0.0668896321070234,"darkgreen",1.7021590721857,-0.172413793103448,42,"Day_2008"
"43",3,-0.37,0.00333333333333333,"darkgreen",1.24596117228943,0.0344827586206897,43,"De Boeck_2007"
"44",0.93,-0.06,0.0703729767769177,"darkgreen",1.70988114619892,-0.322413793103448,44,"De Valpine _2001"
"47",4,0.12,0.00754204691153179,"darkgreen",1.37016465366643,0.206896551724138,47,"Dukes_2005"
"64",1.3,-0.1,0.00666666666666667,"darkgreen",1.35139791241931,-0.258620689655172,64,"Gorissen_2004"
"65",0.2,0.17,0.01,"darkgreen",1.41307445159358,-0.448275862068965,65,"Gorissen_2004"
"66",0.8,-0.31,0.00666666666666667,"darkgreen",1.35139791241931,-0.344827586206897,66,"Gorissen_2004"
"67",3,0.33,0.0783699059561129,"darkgreen",1.72625317610646,0.0344827586206897,67,"Grogan_2000"
"68",3,0.46,0.0245218244237371,"darkgreen",1.549516585837,0.0344827586206897,68,"Grogan_2000"
"70",3,-0.02,0.01,"darkgreen",1.41307445159358,0.0344827586206897,70,"Hakala_1998"
"71",5,-0.14,0.00550630471890314,"darkgreen",1.32230990400857,0.379310344827586,71,"Hartley_1999"
"73",3,0.05,0.00666666666666667,"darkgreen",1.35139791241931,0.0344827586206897,73,"Hartley_2007"
"74",3,0.02,0.00666666666666667,"darkgreen",1.35139791241931,0.0344827586206897,74,"Hartley_2007"
"77",4.5,0.02,0.0116130530716525,"darkgreen",1.4358221442928,0.293103448275862,77,"Hobbie_1998"
"78",0.83,-0.46,0.00204754397100678,"darkgreen",1.17183164109007,-0.339655172413793,78,"Hovenden_2008"
