"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"120",0.041666667,-0.154840573,0.008678841,"darkgreen",1.03190296309807,5,"T",-3.05966093532451
"121",0.208333333,-0.217984469,0.011947733,"darkgreen",1.0230575990456,5,"T",-2.28245635419199
"122",0.166666667,-0.550690222,0.009915927,"darkgreen",1.02786960093687,5,"T",-2.4767574971435
"123",0.083333333,-0.57490448,0.015848049,"darkgreen",1.01727795807489,5,"T",-2.86535979237299
"132",0.083333333,-0.517088692,0.034355997,"darkgreen",1.00774028812478,5,"T",-2.86535979237299
"133",0.208333333,-0.479413003,0.01355973,"darkgreen",1.02026576204321,5,"T",-2.28245635419199
"134",0.041666667,-0.206119668,0.014008084,"darkgreen",1.01960346372869,5,"T",-3.05966093532451
"135",0.166666667,-0.5562396,0.019657259,"darkgreen",1.01384713335142,5,"T",-2.4767574971435
"158",0.857142857,-0.129875081,0.003538084,"blue",1.07887718385945,8,"A",0.743090063921455
"159",0.333333333,0.000958926,0.007703618,"blue",1.03599566246703,8,"A",-1.69955291601098
"160",0.888888889,-0.214625409,0.004479705,"blue",1.06220774575086,8,"A",0.891129033532688
"161",0.666666667,-0.153511294,0.005140285,"blue",1.05415857414071,8,"A",-0.14514374441949
"162",0.5,0.001517067,0.012652927,"blue",1.02174873518071,8,"A",-0.922348330215237
"163",0.833333333,-0.100536363,0.004260715,"blue",1.06542699618836,8,"A",0.63206083671303
"164",0.833333333,-0.02341754,0.008532889,"blue",1.0324559496921,8,"A",0.63206083671303
"165",0.5,-0.073427712,0.016711511,"blue",1.01636318349971,8,"A",-0.922348330215237
"166",0.75,-0.295541518,0.007514595,"blue",1.03691183383179,8,"A",0.24345854614677
"169",0.833333333,-0.513779052,0.022762805,"darkgreen",1.01189974929915,10,"T",0.63206083671303
"170",0.5,-0.11822444,0.049554137,"darkgreen",1.00523550373561,10,"T",-0.922348330215237
"230",0.5,-0.588707343,0.063161016,"darkgreen",1.00401569460817,18,"T",-0.922348330215237
"231",0.875,-0.504574397,0.02504261,"darkgreen",1.01077758947943,18,"T",0.826361984327774
"232",0.9375,-0.531640037,0.021365406,"darkgreen",1.01270595502937,18,"T",1.11781370341828
"233",0.75,-0.469627552,0.024971259,"darkgreen",1.01080960366187,18,"T",0.24345854614677
