"","X","LRR","var.LRR","col","scale","pr.st","Author"
"1",365,-1.937941979,0.029366667,"darkcyan",1.31252477752651,-0.0524064171122995,"Jokiel"
"2",365,-1.852384091,0.046766869,"darkcyan",1.26093661006075,-0.0524064171122995,"Kuffner"
"3",623,-1.586652421,0.163695024,"darkcyan",1.12203879010233,0.341787624140565,"Hall-Spencer"
"4",238,-0.866810675,0.014357289,"darkcyan",1.39186165645667,-0.246447669977082,"Martin"
"5",392.6,-0.8300488,0.492143397,"darkcyan",1,-0.0102368220015279,"Newbold"
"6",380,-0.804372816,0.032545281,"darkcyan",1.30113071489486,-0.0294881588999236,"Hare"
"7",824.5,-0.714653386,0.269755066,"darkcyan",1.06665956942987,0.649656226126814,"Kroeker"
"8",600,-0.699301046,0.101534037,"darkcyan",1.17499020733878,0.306646294881589,"Calbet"
"9",170,-0.693147181,0.004357993,"darkcyan",1.52404270235484,-0.350343773873186,"Russell"
"10",312,-0.559615788,0.145208333,"darkcyan",1.13532463275903,-0.133384262796028,"Fabricius"
"11",370,-0.540961003,0.330729992,"darkcyan",1.04406616331595,-0.0447669977081742,"Hopkins"
"12",390,-0.510825624,0.056805556,"darkcyan",1.2393774635472,-0.0142093200916731,"Avgoustidi"
"13",170,-0.500775288,0.00953168,"darkcyan",1.43727695742062,-0.350343773873186,"Russell"
"14",406,-0.470003629,0.014455556,"darkcyan",1.39110542193666,0.0102368220015279,"Doropoulos"
"15",824.5,-0.446287103,0.034166667,"darkcyan",1.29574055572615,0.649656226126814,"Kroeker"
"16",550,-0.442283304,0.022249015,"darkcyan",1.34329736973569,0.230252100840336,"Riebesell"
"17",350,-0.393042588,0.007544605,"darkcyan",1.46319641700083,-0.0753246753246753,"Tribollet"
"18",415,-0.373862605,5.95448e-05,"darkcyan",2,0.0239877769289534,"Gao"
"19",447.37,-0.345633429,0.166519417,"darkcyan",1.12014220246797,0.0734453781512605,"Christen"
"20",192.1,-0.343771539,0.002413158,"darkcyan",1.58957360109082,-0.316577540106952,"Saba"
"21",824,-0.291133715,0.209003863,"darkcyan",1.09494863902986,0.648892284186402,"Kroeker"
"22",314.5,-0.287682072,0.028211806,"darkcyan",1.31697273963699,-0.129564553093965,"Yoshimura"
"23",570.15,-0.28616706,0.002757285,"darkcyan",1.57479386213969,0.261038961038961,"Troedsson"
"24",415,-0.262223564,0.000749382,"darkcyan",1.71922649105047,0.0239877769289534,"Gao"
"25",550,-0.250300463,0.039763397,"darkcyan",1.27892240499419,0.230252100840336,"Riebesell"
"26",570.15,-0.184781877,0.011460864,"darkcyan",1.41684222645983,0.261038961038961,"Troedsson"
"27",501,-0.171850257,0.024750043,"darkcyan",1.33148673862809,0.155385790679908,"Goodwin"
"28",550,-0.159180028,0.008032766,"darkcyan",1.4562454631686,0.230252100840336,"Riebesell"
"29",570.15,-0.129937505,0.001432624,"darkcyan",1.64738294732328,0.261038961038961,"Troedsson"
"30",415,-0.126719351,0.001850749,"darkcyan",1.61899176400665,0.0239877769289534,"Gao"
"31",365,-0.115512887,0.066579054,"darkcyan",1.22177663554762,-0.0524064171122995,"Jokiel"
"32",296,-0.104285099,0.006719576,"darkcyan",1.47603569577647,-0.157830404889228,"Alsterberg"
"33",296,-0.09994469,0.042212755,"darkcyan",1.2722952475864,-0.157830404889228,"Alsterberg"
"34",432.5,-0.098845835,0.013064913,"darkcyan",1.4023194886469,0.0507257448433919,"Lomas"
"35",415,-0.092844306,0.000839021,"darkcyan",1.70669994792411,0.0239877769289534,"Gao"
"36",296,-0.086678941,0.032923733,"darkcyan",1.29984893604509,-0.157830404889228,"Alsterberg"
"37",615,-0.084486516,0.000143323,"darkcyan",1.90261733068606,0.329564553093965,"Gao"
"38",432.5,-0.075035186,0.387310712,"darkcyan",1.0265574604322,0.0507257448433919,"Lomas"
"39",501,-0.068992871,0.098469388,"darkcyan",1.17838810708343,0.155385790679908,"Goodwin"
"40",335.5,-0.055569851,0.013791685,"darkcyan",1.39631761989563,-0.0974789915966387,"Eklof"
"41",615,-0.046756826,0.000273426,"darkcyan",1.83100482829424,0.329564553093965,"Gao"
"42",296,-0.031265401,0.006379873,"darkcyan",1.48178714110559,-0.157830404889228,"Alsterberg"
"43",570.15,0,0.014896906,"darkcyan",1.38777112258137,0.261038961038961,"Troedsson"
"44",320,0.026317308,0.011226494,"darkcyan",1.41913291901728,-0.121161191749427,"Wu"
"45",375,0.055282967,0.002986781,"darkcyan",1.56593005690442,-0.0371275783040489,"Egge"
"46",370,0.070526563,0.003579165,"darkcyan",1.54587047847006,-0.0447669977081742,"Endo"
"47",822,0.070617567,0.107736278,"darkcyan",1.168416634559,0.645836516424752,"Cigliano"
"48",432.5,0.074107972,0.003673067,"darkcyan",1.54299929672234,0.0507257448433919,"Lomas"
"49",570.15,0.111582997,0.002614224,"darkcyan",1.580700779921,0.261038961038961,"Troedsson"
"50",600,0.135801541,0.00262139,"darkcyan",1.58039729108921,0.306646294881589,"Calbet"
"51",192.1,0.16034265,0.06346922,"darkcyan",1.22707996583021,-0.316577540106952,"Saba"
"52",822,0.167054085,0.019733646,"darkcyan",1.35659840608143,0.645836516424752,"Cigliano"
"53",335.5,0.167054085,0.013809966,"darkcyan",1.39617076169217,-0.0974789915966387,"Eklof"
"54",298,0.224354939,0.027998269,"darkcyan",1.31781509301279,-0.154774637127578,"Feng"
"55",370,0.244133827,0.01028197,"darkcyan",1.42887644762316,-0.0447669977081742,"Endo"
