"","X","LRR","var.LRR","col","scale","pr.st","Paper_No"
"1",0.6,1.406295028,0.071547216,"darkgreen",1.58763803179773,-0.159210526371653,9
"2",0.843137255,-0.251314428,0.032753842,"darkgreen",1.66117393329858,0.0988562092890724,33
"3",0.843137255,0.36772478,0.018262839,"darkgreen",1.71615164547254,0.0988562092890724,33
"4",0.95,0.984784641,0.017284396,"darkgreen",1.72133403751808,0.21228070182887,38
"5",0.366666667,0.087011377,0.002973628,"darkgreen",1.88697921255029,-0.4068713448182,48
"6",0.848484848,0.285251938,0.002142883,"darkgreen",1.91781431212836,0.104532163264748,48
"7",0.948717949,-0.060624622,0.00340625,"darkgreen",1.87419558627783,0.210919928398568,48
"8",0.578947368,-0.31523726,0.002737069,"darkgreen",1.894780922384,-0.181555863853177,83
"9",0.301969365,-0.002594035,0.019633452,"darkgreen",1.70934084031253,-0.475541288193172,196
"10",0.9,0.85238693,0.014597425,"darkgreen",1.73723568576931,0.159210526371653,273
"11",0.95,-0.268263987,0.039243961,"darkgreen",1.64415999887802,0.21228070182887,275
"12",0.95,-0.436717652,0.088021652,"darkgreen",1.56813493897793,0.21228070182887,275
"13",0.75,-0.460108001,0.032427362,"darkgreen",1.66211675306585,0,410
"14",0.75,-0.1251042,0.044756281,"darkgreen",1.6317900102554,0,410
"15",0.75,-1.296524362,0.009377498,"darkgreen",1.77888479137907,0,410
"16",0.75,0.188400603,0.032183744,"darkgreen",1.66282648623186,0,410
"17",0.75,0.195744577,0.017350603,"darkgreen",1.72097422182322,0,410
"18",0.44,0.330663895,0.024482679,"darkgreen",1.68856664255711,-0.329035087834749,423
"19",0.568935428,0.129356021,0.01277842,"darkgreen",1.74976125781715,-0.19218257210252,5
"20",0.716346154,0.629574377,0.001212843,"darkgreen",1.97138339856436,-0.0357203102406036,5
"21",0.978851964,0.769469448,0.001689219,"darkgreen",1.94020303990475,0.242904277664177,5
"22",0.6,3.841242823,0.03812124,"darkgreen",1.64689179020379,-0.159210526371653,9
"23",0.6,2.900422094,0.049862587,"darkgreen",1.62162185693891,-0.159210526371653,9
"24",1,0.42825447,0.063978584,"darkgreen",1.59816100250361,0.265350877286088,13
"25",1,-0.118708987,0.077065505,"darkgreen",1.5806454264411,0.265350877286088,13
"26",0.266019417,0.251000506,0.041406776,"darkgreen",1.63911099136113,-0.513698689153929,32
"27",0.465174129,0.07126302,0.010733527,"darkgreen",1.76617363453432,-0.302315178974497,32
"28",0.843137255,0.144830948,0.00417124,"darkgreen",1.85512767004668,0.0988562092890724,33
"29",0.843137255,0.020834087,0.027922532,"darkgreen",1.67619346778495,0.0988562092890724,33
"30",0.843137255,-0.075035186,0.021780795,"darkgreen",1.6995722444246,0.0988562092890724,33
"31",0.843137255,0,0.00499241,"darkgreen",1.8382146178611,0.0988562092890724,33
"32",0.843137255,0.250144153,0.125607941,"darkgreen",1.5346691239115,0.0988562092890724,33
"33",0.843137255,0.023810649,0.83818707,"darkgreen",1.35603089349827,0.0988562092890724,33
"34",0.95,1.031535127,0.023757524,"darkgreen",1.69139637437647,0.21228070182887,38
"35",0.25,0.293761119,2.733235137,"darkgreen",1.24478645930297,-0.530701754572176,63
"36",0.578947368,-0.274436846,0.00458795,"darkgreen",1.84616600338102,-0.181555863853177,83
"37",0.578947368,-0.740352087,0.025787373,"darkgreen",1.68368025717645,-0.181555863853177,83
"38",0.64,-0.426929347,0.045409851,"darkgreen",1.63042559326147,-0.116754386005879,100
"39",0.64,-0.296265816,0.137480739,"darkgreen",1.52616877315113,-0.116754386005879,100
"40",0.466666667,-0.207639365,0.00538554,"darkgreen",1.83108077856153,-0.300730993903765,123
"41",0.85,2.878271351,0.008753973,"darkgreen",1.78536043535325,0.106140350914435,216
"42",0.05785124,0.171850257,0.046236582,"darkgreen",1.62872754010567,-0.734649122713912,239
"43",0.05785124,0.609064063,0.686202334,"darkgreen",1.37486045330286,-0.734649122713912,239
"44",0.7,0.823200309,0.024939685,"darkgreen",1.6868260320143,-0.0530701754572176,260
"45",0.7,0.32954067,0.100884121,"darkgreen",1.55529856209729,-0.0530701754572176,260
"46",0.7,1.138701414,0.093613486,"darkgreen",1.56233821650669,-0.0530701754572176,260
"47",0.9,0.693147181,0.062847222,"darkgreen",1.59984017890052,0.159210526371653,272
"48",0.9,0.430157721,0.105391449,"darkgreen",1.5511848741354,0.159210526371653,272
"49",0.9,-0.593774707,0.892107987,"darkgreen",1.35016318419571,0.159210526371653,272
"50",0.9,0.78845736,0.046694215,"darkgreen",1.62780059924495,0.159210526371653,273
"51",0.95,-0.510825624,0.027143796,"darkgreen",1.67885556513327,0.21228070182887,275
"52",0.819327731,-1.88959081,0.1885753,"darkgreen",1.49642701898522,0.0735846969644157,308
"53",0.76,0.628608659,0.036062674,"darkgreen",1.6521164426708,0.0106140350914435,341
"54",0.869565217,0.478394288,0.061976383,"darkgreen",1.60115340359098,0.126906940895406,348
"55",0.18,0.278509147,0.283079575,"darkgreen",1.45819444558189,-0.605000000212281,392
"56",0.99,-0.205852054,0.021151284,"darkgreen",1.70233246237051,0.254736842194644,393
"57",0.75,1.011600912,6.365358127,"darkgreen",1.16522272508072,0,410
"58",0.75,-0.144581229,0.041792802,"darkgreen",1.63823763921124,0,410
"59",0.75,0.064538521,0.00556713,"darkgreen",1.82795971532775,0,410
"60",0.75,0.693147181,0.052083333,"darkgreen",1.61752086805964,0,410
"61",0.75,-1.098612289,36.83333333,"darkgreen",1,0,410
"62",0.44,0.656779536,0.032368915,"darkgreen",1.66228653955688,-0.329035087834749,423
"63",0.568935428,-0.072570693,0.020249324,"darkgreen",1.70643393792727,-0.19218257210252,5
"64",0.716346154,0.15415068,0.001692003,"darkgreen",1.94004805603979,-0.0357203102406036,5
"65",0.978851964,0.361013346,0.005563454,"darkgreen",1.82802188068174,0.242904277664177,5
"66",0.6,3.140265424,0.357865773,"darkgreen",1.43613097022469,-0.159210526371653,9
"67",0.266019417,0.107630664,0.085284928,"darkgreen",1.57110758293613,-0.513698689153929,32
"68",0.465174129,0.111225635,0.018541771,"darkgreen",1.71472506826881,-0.302315178974497,32
"69",0.843137255,0.089612159,0.005462572,"darkgreen",1.8297441363963,0.0988562092890724,33
"70",0.843137255,0.532464799,0.005227314,"darkgreen",1.83388730206883,0.0988562092890724,33
"71",0.95,0.290322089,0.183077693,"darkgreen",1.49921159180436,0.21228070182887,38
"72",0.466666667,-0.446287103,0.004580556,"darkgreen",1.84631780339477,-0.300730993903765,123
"73",0.85,-1.070703501,0.029593397,"darkgreen",1.67072373282165,0.106140350914435,216
"74",0.9,-0.075223421,0.042717687,"darkgreen",1.63617755342802,0.159210526371653,272
"75",0.95,-0.615588946,0.054093928,"darkgreen",1.61395606253497,0.21228070182887,275
"76",0.819327731,0.215361411,0.008773746,"darkgreen",1.78514809223409,0.0735846969644157,308
"77",0.76,0.573067933,0.02934244,"darkgreen",1.671525250909,0.0106140350914435,341
"78",0.869565217,0.832460793,0.105649318,"darkgreen",1.55095487625182,0.126906940895406,348
"79",0.75,0.242561637,0.12533089,"darkgreen",1.53487694177327,0,410
"80",0.75,0.007866909,0.053136256,"darkgreen",1.61563719575434,0,410
"81",0.75,-0.193399642,0.019794793,"darkgreen",1.70857059233621,0,410
"82",0.75,-0.00056899,0.000894857,"darkgreen",2,0,410
"83",0.75,0.577045423,0.090750997,"darkgreen",1.56526097083216,0,410
"84",0.44,1.331635949,0.109940733,"darkgreen",1.54720756287669,-0.329035087834749,423
