"","X","LRR","var.LRR","scale","col","ref","pr.st"
"1",0.9,0.269,0.0457,1.68964798064043,"darkgreen","Aerts et al. 2006",-1.33767892921116
"2",0.9,-0.1081,0.0294,1.7199669081429,"darkgreen","Aerts et al. 2006",-1.33767892921116
"3",0.9,0.4806,0.0386,1.70125348558173,"darkgreen","Aerts et al. 2006",-1.33767892921116
"4",0.9,0.0298,0.0187,1.75106717410288,"darkgreen","Aerts et al. 2006",-1.33767892921116
"5",0.9,0.2177,0.0729,1.65754974897669,"darkgreen","Aerts et al. 2006",-1.33767892921116
"6",0.9,0.0965,0.0569,1.67458163589146,"darkgreen","Aerts et al. 2006",-1.33767892921116
"70",3.6,0.1425,0.0191,1.74961242664249,"darkgreen","Biasi et al. 2008",0.514458094645521
"71",3.6,0.6286,0.7225,1.49989889095985,"darkgreen","Biasi et al. 2008",0.514458094645521
"72",3.6,0,0.0661,1.66428019949402,"darkgreen","Biasi et al. 2008",0.514458094645521
"73",3.6,-0.1942,0.1064,1.63156016418248,"darkgreen","Biasi et al. 2008",0.514458094645521
"74",3.6,0.4146,0.0204,1.74508651221311,"darkgreen","Biasi et al. 2008",0.514458094645521
"75",4.4,-0.3316,0.0246,1.73221866695161,"darkgreen","Boelman et al. 2003",1.0632394350475
"76",4.4,0.33,0.0117,1.78329904858641,"darkgreen","Boelman et al. 2003",1.0632394350475
"77",4.4,0.7288,0.0342,1.70957216059984,"darkgreen","Boelman et al. 2005",1.0632394350475
"78",4.4,0.8988,0.0357,1.70662173977055,"darkgreen","Boelman et al. 2005",1.0632394350475
"79",4.4,0.1482,0.0376,1.70305763776035,"darkgreen","Boelman et al. 2005",1.0632394350475
"80",4.4,0.4855,0.0306,1.71721717140284,"darkgreen","Boelman et al. 2005",1.0632394350475
"81",4.4,0.9651,0.036,1.70604655439112,"darkgreen","Boelman et al. 2005",1.0632394350475
"82",4.4,0.27,0.0246,1.73221866695161,"darkgreen","Boelman et al. 2005",1.0632394350475
"103",3.5,-0.1624,0.0926,1.64110848141338,"darkgreen","Briones et al. 2009",0.445860427095274
"128",5,-0.1898,0.0048,1.84453940582569,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"129",5,0.3659,0.0061,1.82806567159541,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"130",5,-0.136,0.0068,1.82059880582104,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"131",5,-0.0123,0.0058,1.83153199858379,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"132",5,1.0188,0.0134,1.7739741568592,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"133",5,0.643,0.0094,1.79834354335569,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"134",5,-0.0465,0.0183,1.75255337798748,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"135",5,0.0454,0.0073,1.81572199133972,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"136",5,-0.0505,0.0296,1.71950091143097,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"137",5,0.4146,0.0073,1.81572199133972,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"138",5,0.2194,0.0129,1.77658794144043,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"139",5,-0.0759,0.0192,1.74925350023035,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"140",5,0.2231,0.008,1.80942818880932,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"141",5,0.2838,0.0058,1.83153199858379,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"142",5,0.3075,0.0082,1.80773096055955,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"143",5,0.1373,0.0084,1.80607463338313,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"144",5,-0.1759,0.0035,1.8662493219621,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"145",5,-0.0756,0.0045,1.84897541278413,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"146",5,-0.1823,0.0302,1.71812158250053,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"147",5,0.2744,0.0101,1.79340665523465,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"148",5,0.0953,0.0062,1.82694801686048,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"149",5,0.2834,0.0086,1.8044572822507,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"150",5,0.4186,0.0029,1.87917495138146,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"151",5,0.0572,0.0125,1.77875297875139,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"152",5,-0.2469,0.0417,1.69594384351921,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"153",5,-0.4722,0.0204,1.74508651221311,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"154",5,-0.2432,0.0075,1.81386419576776,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"155",5,-0.5851,0.0298,1.71903805276783,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"156",5,0.1617,0.0195,1.74818783157004,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"157",5,0.3807,0.0136,1.77295585302337,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"158",5,-0.0645,0.0361,1.70585589060247,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"159",5,0.0887,0.0077,1.8120552952729,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"160",5,-0.2696,0.0106,1.79008551398107,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"161",5,-0.4896,0.0067,1.82161710965687,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"162",5,-0.2838,0.0091,1.80057295776438,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"163",5,-0.2412,0.0167,1.75884203554601,"darkgreen","Chapin & Shaver 1985",1.47482544034899
"164",3.5,0.2021,0.0381,1.70214964236668,"darkgreen","Chapin et al. 1995",0.445860427095274
"165",3.5,0.0696,0.0332,1.71161190231801,"darkgreen","Chapin et al. 1995",0.445860427095274
"166",3.5,-0.2542,0.1509,1.60754360632754,"darkgreen","Chapin et al. 1995",0.445860427095274
