"","X","LRR","var.LRR","scale","col","Study","pr.st"
"2",100,-0.14,0.08,1.28056260029561,"darkgreen","Allison et al. 2008",-0.156275621954093
"5",100,-0.14,0.04,1.52037506686374,"darkgreen","Brenner et al. 2005",-0.156275621954093
"6",100,-0.08,0.05,1.44317269637122,"darkgreen","Brenner et al. 2005",-0.156275621954093
"7",300,-0.25,0.05,1.44317269637122,"darkgreen","Chen et al. 2002",1.61786791230734
"8",600,-0.24,0.05,1.44317269637122,"darkgreen","Chen et al. 2002",4.2790832136995
"9",90,-0.38,0.02,1.76018753343187,"darkgreen","Collins et al. 1992",-0.244982798667164
"10",90,-0.07,0.03,1.61990623328407,"darkgreen","Collins et al. 1992",-0.244982798667164
"11",30,-0.2,0.01,2,"darkgreen","DeForest et al. 2004",-0.777225858945595
"12",100,-0.48,0.01,2,"darkgreen","Demoling et al. 2008",-0.156275621954093
"14",56,-0.24,0.01,2,"darkgreen","Deng et al. 2006",-0.546587199491608
"15",168,-0.57,0.05,1.44317269637122,"darkgreen","Deng et al. 2006",0.446933179694796
"16",504,-1.83,0.02,1.76018753343187,"darkgreen","Deng et al. 2006",3.42749431725401
"18",34,-0.34,0.01,2,"darkgreen","Hogberg et al. 2007",-0.741742988260366
"19",68,-0.54,0.01,2,"darkgreen","Hogberg et al. 2007",-0.440138587435922
"20",100,0.12,0.05,1.44317269637122,"darkgreen","Klein & Paschke 2000",-0.156275621954093
"21",264,0.32,0.08,1.28056260029561,"darkgreen","Lagomarsino et al. 2006",1.29852207614029
"25",305,-0.49,0.05,1.44317269637122,"darkgreen","McAndrew & Malhi 1992",1.66222150066388
"26",150,0.1,0.01,2,"darkgreen","Nohrstedt et al. 1989",0.287260261611266
"28",100,-0.32,0.02,1.76018753343187,"darkgreen","Schmidt et al. 2004",-0.156275621954093
"29",80,0.31,0.01,2,"darkgreen","Schnurer et al. 1985",-0.333689975380236
"30",80,0.25,0.01,2,"darkgreen","Waldrop et al. 2004",-0.333689975380236
"31",80,0.1,0.01,2,"darkgreen","Waldrop et al. 2004",-0.333689975380236
"32",80,-0.36,0.01,2,"darkgreen","Waldrop et al. 2004",-0.333689975380236
"33",150,-0.76,0.02,1.76018753343187,"darkgreen","Wallenstein et al. 2006",0.287260261611266
"34",25,-0.12,0.04,1.52037506686374,"darkgreen","Wallenstein et al. 2006",-0.821579447302131
"35",31,-1.19,0.03,1.61990623328407,"darkgreen","Wallenstein et al. 2006",-0.768355141274288
"37",100,0.09,0.1,1.20336022980309,"darkgreen","Allison et al. 2008",-0.156275621954093
"40",30,-0.03,0.02,1.76018753343187,"darkgreen","DeForest et al. 2004",-0.777225858945595
"41",100,-0.79,0.01,2,"darkgreen","Demoling et al. 2008",-0.156275621954093
"42",150,0.16,0.05,1.44317269637122,"darkgreen","Frey et al. 2004",0.287260261611266
"44",68,-1.06,0.01,2,"darkgreen","Hogberg 2006",-0.440138587435922
"45",100,0.07,0.03,1.61990623328407,"darkgreen","Lowell & Klein 2001",-0.156275621954093
"46",80,0.31,0.02,1.76018753343187,"darkgreen","Schnurer et al. 1985",-0.333689975380236
"47",60,0.11,0.01,2,"darkgreen","Siguenza et al. 2006",-0.51110432880638
"51",100,0.09,0.18,1,"darkgreen","Treseder et al. 2005",-0.156275621954093
"52",100,0.03,0.11,1.17038517061081,"darkgreen","Treseder et al. 2007",-0.156275621954093
"53",100,0.61,0.15,1.06307892965528,"darkgreen","Treseder et al. 2007",-0.156275621954093
"54",100,-0.18,0.08,1.28056260029561,"darkgreen","Treseder et al. 2007",-0.156275621954093
"55",100,0.05,0.16,1.04075013372747,"darkgreen","Allison et al. 2008",-0.156275621954093
"57",35,-0.03,0.02,1.76018753343187,"darkgreen","Boxman et al. 1998",-0.732872270589059
"58",30,0.04,0.01,2,"darkgreen","DeForest et al. 2004",-0.777225858945595
"59",150,0.21,0.03,1.61990623328407,"darkgreen","Frey et al. 2004",0.287260261611266
"62",80,0.2,0.01,2,"darkgreen","Schnurer et al. 1985",-0.333689975380236
"63",150,-0.05,0.04,1.52037506686374,"darkgreen","Soderstrom et al. 1983",0.287260261611266
"64",5,-0.15,0.08,1.28056260029561,"darkgreen","Stapleton et al. 2005",-0.998993800728275
"65",5,-0.35,0.08,1.28056260029561,"darkgreen","Stapleton et al. 2005",-0.998993800728275
"66",100,0.31,0.02,1.76018753343187,"darkgreen","Vishnevetsky & Steinberger",-0.156275621954093
