"","X","LRR","var.LRR","scale","col","Land.use","soil","ref","pr.st"
"1",5.29831736654804,0.255679341,0.009420054,1.62252149819214,"darkgreen","upland","Andosol","Akiyama et al. 2000",0.361652754044197
"2",5.29831736654804,0.448390153,0.018974552,1.53964144732819,"darkgreen","upland","Andosol","Akiyama et al. 2000",0.361652754044197
"5",5.38449506278909,1.052119314,0.027696139,1.49487970521837,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"6",5.38449506278909,0.399386062,0.094475662,1.34965049105953,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"7",5.38449506278909,0.392756203,0.032258026,1.47683343727727,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"8",5.38449506278909,1.067784271,0.029554431,1.48719355751255,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"9",5.38449506278909,1.154385863,0.071534446,1.3825729002895,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"10",5.38449506278909,1.166255438,0.029607688,1.48698047142869,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"11",5.38449506278909,0.521583872,0.126565723,1.31504075581811,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"12",5.38449506278909,1.22911979,0.052586224,1.41899413398283,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"13",5.38449506278909,1.33609191,0.083957227,1.36362067186987,"darkgreen","upland","mesic Aridic Argiustoll","Bronson et al. 1992",0.512305274067633
"15",4.15888308335967,0.387115969,0.03479008,1.46788978245332,"darkgreen","grassland","Halstow series","Dittert et al. 2001",-1.63026225008018
"16",4.60517018598809,1.237678955,0.706071735,1.11159129927109,"darkgreen","grassland","Gleysol","Dobbie & Smith 2003",-0.850080374750572
"17",4.60517018598809,0.620641785,0.316219322,1.20666477887399,"darkgreen","grassland","Gleysol","Dobbie & Smith 2003",-0.850080374750572
"18",4.78749174278205,0.741003202,0.007007502,1.65753838741148,"darkgreen","paddy","Typic Ustochrept","Ghosh et al. 2003",-0.531352871188917
"19",4.78749174278205,0.613104473,0.002876611,1.76291924944219,"darkgreen","paddy","Typic Ustochrept","Ghosh et al. 2003",-0.531352871188917
"20",4.78749174278205,0.106294659,0.005404678,1.68827750495887,"darkgreen","paddy","Typic Ustochrept","Ghosh et al. 2003",-0.531352871188917
"21",4.49980967033027,3.489879295,0.069029638,1.38679149731937,"darkgreen","upland","Ultisol","Hadi et al. 2008",-1.03426755875723
"23",6.90775527898214,0.574120474,0.004215754,1.71768156152703,"darkgreen","grassland","yellow-red Sudsol","Kelly et al. 2008",3.17520994929854
"24",6.90775527898214,0.293712241,0.005257335,1.69154895235959,"darkgreen","grassland","yellow-red Sudsol","Kelly et al. 2008",3.17520994929854
"25",4.9416424226093,0.119346758,0.042619599,1.44386555821759,"darkgreen","paddy","Typic Ustochrept","Kumar et al. 2000",-0.261872606662658
"26",4.9416424226093,0.084741228,0.034095531,1.47027655528375,"darkgreen","paddy","Typic Ustochrept","Kumar et al. 2000",-0.261872606662658
"27",4.9416424226093,0.300530215,0.006788062,1.66130399412055,"darkgreen","paddy","Typic Ustochrept","Kumar et al. 2000",-0.261872606662658
"31",4.38202663467388,0.55219572,0.010000892,1.61543982024889,"darkgreen","grassland","","Macadam et al. 2003",-1.24017131241538
"32",4.44265125649032,0.920380717,0.012796258,1.58626749606305,"darkgreen","grassland","","Macadam et al. 2003",-1.13418969013382
"33",4.8283137373023,0.864648383,0.003093836,1.7543030311471,"darkgreen","grassland","","Macadam et al. 2003",-0.459989437085769
"34",4.8283137373023,0.944072693,0.001039614,1.88337812785891,"darkgreen","grassland","","Macadam et al. 2003",-0.459989437085769
"37",4.38202663467388,0.736319352,0.001346342,1.85277803417426,"darkgreen","fallow","","Magalhaes et al. 1984",-1.24017131241538
"38",4.9416424226093,0.202524264,0.014335028,1.57282773229993,"darkgreen","paddy","Typic Ustochrept","Majumdar et al. 2000",-0.261872606662658
"39",4.9416424226093,0.051293294,0.005506502,1.68606841687215,"darkgreen","paddy","Typic Ustochrept","Majumdar et al. 2000",-0.261872606662658
"40",4.9416424226093,0.124052649,0.003961102,1.72505590223705,"darkgreen","paddy","Typic Ustochrept","Majumdar et al. 2000",-0.261872606662658
"41",4.78749174278205,0.271496748,0.012409259,1.589902210998,"darkgreen","upland","Typic Ustochrept","Majumdar et al. 2002",-0.531352871188917
"42",4.78749174278205,0.357674444,0.005629737,1.68344881526787,"darkgreen","upland","Typic Ustochrept","Majumdar et al. 2002",-0.531352871188917
"43",4.78749174278205,0.050189745,0.008009171,1.64172525660786,"darkgreen","upland","Typic Ustochrept","Majumdar et al. 2002",-0.531352871188917
"44",4.78749174278205,0.183721137,0.005671931,1.68256505969855,"darkgreen","upland","Typic Ustochrept","Majumdar et al. 2002",-0.531352871188917
"64",5.16478597392351,0.210526983,0.01176352,1.59622714160998,"darkgreen","upland","Typic Xerofluvent","Meijide et al. 2007",0.128218331002146
"65",5.16478597392351,1.268511325,0.071929053,1.3819218021506,"darkgreen","upland","Typic Xerofluvent","Meijide et al. 2007",0.128218331002146
