"","X","LRR","var.LRR","scale","col","Citation","Biome.type","pr.st"
"1",56,0.09,0.0025557,1.59685852765669,"darkgreen","Chou et al 2008","Mediterranean",0.0927835051546392
"2",73,0.458,0.0016188,1.65325582862625,"darkgreen","Cotrufo et al 2011","Mediterranean",0.13659793814433
"3",100,0.143,0.0043737,1.53050154430778,"darkgreen","Deng et al 2012","Tropical Forest",0.206185567010309
"4",100,0.067,0.0031932,1.56935435905974,"darkgreen","Deng et al 2012","Tropical Forest",0.206185567010309
"5",100,0.007,0.0030794,1.57383619251261,"darkgreen","Deng et al 2012","Tropical Forest",0.206185567010309
"6",24,-0.119,0.0130048,1.39591736619337,"darkgreen","Fay et al 2008","Temperate Grassland",0.0103092783505155
"7",24,-0.103,0.0192172,1.34769037286897,"darkgreen","Fay et al 2008","Temperate Grassland",0.0103092783505155
"8",24,0.343,0.0216824,1.33278395643426,"darkgreen","Fay et al 2008","Temperate Grassland",0.0103092783505155
"9",24,0.189,0.0213674,1.33459138256365,"darkgreen","Fay et al 2008","Temperate Grassland",0.0103092783505155
"10",35,0.142,0.0057036,1.49771250799982,"darkgreen","Flanagan et al 2013","Temperate Grassland",0.038659793814433
"11",35,-0.172,0.0044762,1.52764054131323,"darkgreen","Flanagan et al 2013","Temperate Grassland",0.038659793814433
"12",58,0.612,0.0879175,1.15989000967963,"darkgreen","Ford et al 2012","Tropical Savanna",0.0979381443298969
"13",58,0.119,0.0112288,1.41405237432137,"darkgreen","Ford et al 2012","Tropical Savanna",0.0979381443298969
"14",15,0.239,0.128105,1.11339650645587,"darkgreen","Inglima et al 2009","Mediterranean",-0.0128865979381443
"15",15,0.555,0.2668775,1.02275154623175,"darkgreen","Inglima et al 2009","Mediterranean",-0.0128865979381443
"16",15,0.731,0.2450019,1.03331413355583,"darkgreen","Inglima et al 2009","Mediterranean",-0.0128865979381443
"18",13,0.172,0.0005629,1.78371856106602,"darkgreen","Jia et al 2013","Temperate Grassland",-0.0180412371134021
"19",13,0.019,0.0001762,1.92716705148281,"darkgreen","Jia et al 2013","Temperate Grassland",-0.0180412371134021
"20",13,0.236,9.77e-05,2,"darkgreen","Jia et al 2013","Temperate Grassland",-0.0180412371134021
"21",13,0.137,0.0001242,1.97035991434804,"darkgreen","Jia et al 2013","Temperate Grassland",-0.0180412371134021
"22",100,0.021,0.0081101,1.45423730108921,"darkgreen","Jiang et al 2013","Tropical Forest",0.206185567010309
"23",100,0.038,0.0081665,1.45338138627875,"darkgreen","Jiang et al 2013","Tropical Forest",0.206185567010309
"24",100,0.164,0.0070412,1.47169241285417,"darkgreen","Jiang et al 2013","Tropical Forest",0.206185567010309
"25",26,0.131,0.001142,1.6963471062766,"darkgreen","Lai et al 2013","Desert",0.0154639175257732
"26",52,0.413,0.0020381,1.62480864290116,"darkgreen","Lai et al 2013","Desert",0.0824742268041237
"27",26,0.379,0.0031122,1.57252764828882,"darkgreen","Lai et al 2013","Desert",0.0154639175257732
"28",52,0.539,0.0031603,1.5706334462082,"darkgreen","Lai et al 2013","Desert",0.0824742268041237
"29",26,0.318,0.0050401,1.51298653252369,"darkgreen","Lai et al 2013","Desert",0.0154639175257732
"30",52,0.415,0.0039379,1.54346481060983,"darkgreen","Lai et al 2013","Desert",0.0824742268041237
"34",30,0.288,0.0016608,1.65009234532451,"darkgreen","Liu et al 2009","Temperate Grassland",0.0257731958762887
"35",30,0.251,0.0015519,1.65846836159477,"darkgreen","Liu et al 2009","Temperate Grassland",0.0257731958762887
"41",22,0.075,0.0017013,1.6471167162451,"darkgreen","Matías et al 2012","Mediterranean",0.00515463917525773
"42",22,0.116,0.0015523,1.65843653254384,"darkgreen","Matías et al 2012","Mediterranean",0.00515463917525773
"43",22,0.159,0.0022506,1.61255959183858,"darkgreen","Matías et al 2012","Mediterranean",0.00515463917525773
"44",300,0.394,0.1693965,1.07889030326457,"darkgreen","McCulley et al 2007","Tropical Savanna",0.721649484536082
"45",300,0.549,0.1577251,1.08770711380349,"darkgreen","McCulley et al 2007","Tropical Savanna",0.721649484536082
"46",300,0.838,0.1497571,1.09410947211939,"darkgreen","McCulley et al 2007","Tropical Savanna",0.721649484536082
"47",300,0.721,0.1398778,1.10253810590442,"darkgreen","McCulley et al 2007","Tropical Savanna",0.721649484536082
"49",39,0.167,0.0073104,1.46705859385005,"darkgreen","Olsen et al 2010","Temperate Forest",0.0489690721649485
"50",39,-0.028,0.0063615,1.48422991718091,"darkgreen","Olsen et al 2010","Temperate Forest",0.0489690721649485
