"","X","LRR","var.LRR","scale","col","Study.name","pr.st"
"4",-0.03,0.140581950621189,0.0872608787050423,1.61684348630294,"darkgreen","Anderson_and_Levine",-0.241050732477647
"5",0.5,1.3672461661492,0.102428659137585,1.60311976081708,"darkgreen","Anderson_and_Levine",0.340129958669143
"6",1.03,2.0654552997051,0.00109284305541662,1.991921127124,"darkgreen","Arai_et_al.",0.921310649815934
"7",0.44,-0.693147180559945,0.00472228480118027,1.86659808165146,"darkgreen","Brummer_et_al.",0.27433591816196
"8",0.5,-2.00533356952611,0.00235050189262643,1.92634031292068,"darkgreen","Brummer_et_al.",0.340129958669143
"9",0.48,-0.860201265223111,0.0015673202526802,1.96104360029716,"darkgreen","Brummer_et_al.",0.318198611833415
"10",0.4,-0.955511445027436,0.00155215277630497,1.96187632359179,"darkgreen","Brummer_et_al.",0.230473224490504
"11",0.44,-1.56563528977571,0.0445171626059183,1.67447605529839,"darkgreen","Brummer_et_al.",0.27433591816196
"12",0.5,-0.27286698666664,0.050913462540242,1.66297976114494,"darkgreen","Brummer_et_al.",0.340129958669143
"13",0.48,-1.63974326192943,0.0530220585006521,1.65950476629366,"darkgreen","Brummer_et_al.",0.318198611833415
"14",0.41,-4.20469261939097,0.20219141940673,1.5448859814406,"darkgreen","Brummer_et_al.",0.241438897908368
"20",0.8,0.226773319364788,0.00437900920183099,1.87306073791985,"darkgreen","Castaldi_et_al.",0.669100161205063
"21",0.04,0.503526321284379,0.003112416055473,1.90229742970359,"darkgreen","Castaldi_et_al.",-0.164291018552599
"22",0.03,-0.0755075525081452,0.00579187280162429,1.8491152360704,"darkgreen","Castaldi_et_al.",-0.175256691970463
"23",-0.74,0.0137933221323358,3.31927884873149,1.30526347494661,"darkgreen","Davidson_et_al.",-1.01961354514599
"25",1.32,0.399985642343539,0.0516261939754361,1.66178932460444,"darkgreen","Davidson_et_al.",1.23931517893399
"26",0.31,1.28728883734444,0.0132401335082494,1.77831510455101,"darkgreen","Davidson_et_al.",0.131782163729728
"27",-0.95,-0.227057450635346,117.28234625101,1,"darkgreen","Erickson_et_al.",-1.24989268692113
"28",0.15,-0.207639364778244,97.7692526190944,1.01558277495783,"darkgreen","Erickson_et_al.",-0.0436686109560954
